product_id	product_name	company_name	company_country	company_type	facility_name	facility_country	facility_lat	facility_lng	facility_processes	composition	categories	certificates	characteristics	image
000053	Soft Brushed Fleece Pants	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 3	Portugal	53,1436	9,2216	[Fiber Preparation, Printing]	"[[""Recycled Cotton"",100]]"	[Safety Vests]	[OEKO-TEX STeP, RCS (Recycled Claim Standard), BCI (Better Cotton Initiative)]		https://example.com/demo-image.jpg
000054	Recycled Polyester Hoodie	Urban Stitch	Canada	Supplier	Urban Stitch Facility 1	Canada	54,602	-6,8735	[Brushing / Raising, Nonwoven Formation]	"[[""Cashmere"",100]]"	[Leather Belts]	[Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000055	Merino Wool Sweater Vest	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 3	United Kingdom	41,1633	6,9818	[Heat Setting, Bleaching]	"[[""Wool"",50],[""Linen (Flax)"",50]]"	[Snoods]	[ZDHC MRSL Compliance]		https://example.com/demo-image.jpg
000056	Eco Friendly Towel	Summit Mills	Sweden	Supplier	Summit Mills Facility 3	Sweden	47,8322	7,145	[Dyeing, Nonwoven Formation, Knitting, Mercerization]	"[[""Recycled Cotton"",50],[""Lyocell (TENCEL)"",50]]"	[Seasonal]	[GRS (Global Recycled Standard), GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000057	Bamboo Rayon Dress Shirt	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 1	Italy	54,2265	24,7713	[Combing]	"[[""Acrylic"",50],[""Silk"",50]]"	[Kids Outerwear]	[GOTS (Global Organic Textile Standard), OCS (Organic Content Standard), RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000058	Handloomed Cotton Quilt	EcoThreads	Spain	Supplier	EcoThreads Facility 3	Spain	38,7094	9,5543	[Cutting, Printing]	"[[""Mohair"",100]]"	[Maternity Dresses]	[EU Ecolabel for Textiles, RMS (Responsible Mohair Standard), RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000059	Organic Linen Table Runner	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 1	Italy	54,2265	24,7713	[Combing]	"[[""Hemp"",100]]"	[Textiles]	[Nordic Swan Ecolabel, GOTS (Global Organic Textile Standard), OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000060	Natural Fiber Wall Hanging	Summit Mills	Sweden	Supplier	Summit Mills Facility 1	Sweden	37,9433	23,3396	[Bleaching, Quality Control & Inspection]	"[[""Synthetic Leather (PU Leather)"",34],[""Wool"",33],[""Polyester"",33]]"	[Bow Ties]	[RAS (Responsible Alpaca Standard), RMS (Responsible Mohair Standard)]		https://example.com/demo-image.jpg
000061	Silk Blend Socks Set	Loom & Leaf Co.	United Kingdom	Supplier	Loom & Leaf Co. Facility 2	United Kingdom	57,7014	15,0913	[Brushing / Raising, Nonwoven Formation, Stitching / Sewing, Warping]	"[[""Bamboo Fiber"",100]]"	[Crop Tops]	[Fairtrade Cotton, EU Ecolabel for Textiles, Fairtrade Textile Standard]		https://example.com/demo-image.jpg
000062	Faux Fur Gloves	Urban Stitch	Canada	Supplier	Urban Stitch Facility 2	Canada	55,9318	11,5176	[Weaving]	"[[""Cashmere"",100]]"	[Messenger Bags]	[OEKO-TEX STeP, OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000063	Handloomed Woolen Scarf Wrap	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 1	Portugal	48,7658	20,9422	[Twisting & Winding, Mercerization]	"[[""Viscose"",100]]"	[Polyester]	[RDS (Responsible Down Standard), CmiA (Cotton made in Africa)]		https://example.com/demo-image.jpg
000064	Natural Fiber Beach Towel	WeaveWorks	United States	Supplier	WeaveWorks Facility 1	United States	57,8581	24,3338	[Mercerization, Weaving]	"[[""Modal"",50],[""Leather"",50]]"	[Lounge Tops]	[CmiA (Cotton made in Africa), GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000065	Recycled Cotton Reusable Bag	Riverstone Looms	France	Supplier	Riverstone Looms Facility 1	France	52,4909	22,1962	[Bleaching, Warping, Printing]	"[[""Nylon"",34],[""Jute"",33],[""Hemp"",33]]"	[Knee-High Socks]	[Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000066	Merino Wool Hiking Socks	WeaveWorks	United States	Supplier	WeaveWorks Facility 1	United States	57,8581	24,3338	[Mercerization, Weaving]	"[[""Cotton"",50],[""Tussah Silk"",50]]"	[Sweatshirts]	[RAS (Responsible Alpaca Standard), Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000067	Organic Linen Tablecloth Set	EcoThreads	Spain	Supplier	EcoThreads Facility 4	Spain	36,253	28,2532	[Dyeing]	"[[""Cotton"",34],[""Recycled Nylon"",33],[""Silk"",33]]"	[Maternity Tops]	[CmiA (Cotton made in Africa)]		https://example.com/demo-image.jpg
000068	Handmade Silk Scarf Wrap	Riverstone Looms	France	Supplier	Riverstone Looms Facility 1	France	52,4909	22,1962	[Bleaching, Warping, Printing]	"[[""Silk"",100]]"	[Organza]	[Fairtrade Textile Standard]		https://example.com/demo-image.jpg
000069	Merino Wool Crew Socks	EcoThreads	Spain	Supplier	EcoThreads Facility 1	Spain	37,1789	29,2145	[Brushing / Raising, Stitching / Sewing]	"[[""Acrylic"",50],[""Recycled Nylon"",50]]"	[Plus Dresses]	[Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000070	Natural Dye Batik Scarf	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 2	Netherlands	50,7905	29,0179	[Nonwoven Formation, Warping, Printing, Knitting]	"[[""Mohair"",34],[""Ramie"",33],[""Polyester"",33]]"	[Flip Flops]	[RDS (Responsible Down Standard), OEKO-TEX Made in Green]		https://example.com/demo-image.jpg
000071	Organic Cotton Baby Blanket	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 4	Netherlands	40,86	-6,2215	[Stitching / Sewing, Mercerization, Twisting & Winding]	"[[""Elastane (Spandex)"",50],[""Polypropylene"",50]]"	[Activewear]	[RCS (Recycled Claim Standard), Fairtrade Textile Standard]		https://example.com/demo-image.jpg
000072	Bamboo Fiber Yoga Pants	Skyline Weavers	Germany	Supplier	Skyline Weavers Facility 1	Germany	49,0419	-3,9234	[Warping, Spinning, Carding]	"[[""Cotton"",50],[""Synthetic Leather (PU Leather)"",50]]"	[Culottes]	[OCS (Organic Content Standard), RDS (Responsible Down Standard), GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000073	Soft Fleece Lined Jacket	Urban Stitch	Canada	Supplier	Urban Stitch Facility 3	Canada	41,7184	29,3424	[Bleaching]	"[[""Mohair"",50],[""Leather"",50]]"	[Briefs]	[GOTS (Global Organic Textile Standard)]		https://example.com/demo-image.jpg
000074	Handloomed Cotton Quilt Set	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 4	Netherlands	40,86	-6,2215	[Stitching / Sewing, Mercerization, Twisting & Winding]	"[[""Polyurethane"",100]]"	[Crossbody Bags]	[RMS (Responsible Mohair Standard)]		https://example.com/demo-image.jpg
000075	Eco Weave Linen Tote	Skyline Weavers	Germany	Supplier	Skyline Weavers Facility 1	Germany	49,0419	-3,9234	[Warping, Spinning, Carding]	"[[""Tussah Silk"",50],[""Recycled Cotton"",50]]"	[Skirts]	[RDS (Responsible Down Standard), Higg Product Module (Higg MSI)]		https://example.com/demo-image.jpg
000076	Recycled Denim Market Bag	Riverstone Looms	France	Supplier	Riverstone Looms Facility 1	France	52,4909	22,1962	[Bleaching, Warping, Printing]	"[[""Recycled Cotton"",50],[""Wool"",50]]"	[Joggers]	[bluesign Approved, RCS (Recycled Claim Standard)]		https://example.com/demo-image.jpg
000077	Merino Knit Travel Socks	GreenSpun Fabrics	Netherlands	Supplier	GreenSpun Fabrics Facility 3	Netherlands	46,1452	15,1115	[Dyeing]	"[[""Acrylic"",100]]"	[Specialty]	[GOTS (Global Organic Textile Standard), RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000078	Natural Fiber Rug Pad	Summit Mills	Sweden	Supplier	Summit Mills Facility 1	Sweden	37,9433	23,3396	[Bleaching, Quality Control & Inspection]	"[[""Acetate"",34],[""Linen (Flax)"",33],[""Acrylic"",33]]"	[Work Pants]	[OEKO-TEX Standard 100, ZDHC MRSL Compliance]		https://example.com/demo-image.jpg
000079	Organic Cotton Travel Pouch	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 3	Portugal	53,1436	9,2216	[Fiber Preparation, Printing]	"[[""Bamboo Fiber"",50],[""Nylon"",50]]"	[Running Shoes]	[bluesign Approved, Nordic Swan Ecolabel]		https://example.com/demo-image.jpg
000080	Bamboo Rayon Lounge Pants	Mariner Textiles	Portugal	Supplier	Mariner Textiles Facility 3	Portugal	53,1436	9,2216	[Fiber Preparation, Printing]	"[[""Cashmere"",34],[""Mohair"",33],[""Acetate"",33]]"	[Cardigans]	[RCS (Recycled Claim Standard), EU Ecolabel for Textiles, OCS (Organic Content Standard)]		https://example.com/demo-image.jpg
000081	Faux Leather Handbag	EcoThreads	Spain	Supplier	EcoThreads Facility 4	Spain	36,253	28,2532	[Dyeing]	"[[""Synthetic Leather (PU Leather)"",100]]"	[Tube Tops]	[GOTS (Global Organic Textile Standard), GRS (Global Recycled Standard), Fairtrade Textile Standard]		https://example.com/demo-image.jpg
000082	Handmade Woolen Sweater	Heritage Textiles	Italy	Supplier	Heritage Textiles Facility 2	Italy	42,679	18,002	[Cutting]	"[[""Silk"",50],[""Ramie"",50]]"	[Lace]	[OEKO-TEX Made in Green, bluesign Approved, RWS (Responsible Wool Standard)]		https://example.com/demo-image.jpg
000083	Cotton Twill Work Pants	Summit Mills	Sweden	Supplier	Summit Mills Facility 4	Sweden	46,0255	-1,3766	[Finishing, Twisting & Winding, Washing / Scouring, Knitting]	"[[""Polypropylene"",50],[""Cotton"",50]]"	[Workwear]	[OEKO-TEX Made in Green, bluesign Approved, ZDHC MRSL Compliance]		https://example.com/demo-image.jpg
